
폭염일수
지점/지역명 : 전국

평균 폭염일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위

2016,0,0,0,0,0,0.1,5.1,16.6,0,0,0,0,22,4
2017,0,0,0,0,0.4,1.7,5.9,5.6,0,0,0,0,13.5,7
2018,0,0,0,0,0,1.5,15.4,14.1,0,0,0,0,31,1
2019,0,0,0,0,0.5,0.5,3,9,0,0,0,0,13.1,8
2020,0,0,0,0,0,1.9,0.1,5.7,0,0,0,0,7.7,11
2021,0,0,0,0,0,0.1,8.1,3.5,0,0,0,0,11.8,9
2022,0,0,0,0,0.2,1.6,5.8,2.9,0.2,0,0,0,10.6,10
2023,0,0,0,0,0.2,0.9,4.1,9,0,0,0,0,14.2,6
2024,0,0,0,0,0,2.8,4.3,16.9,6,0,0,0,30.1,2
2025,0,0,0,0,0,2,14.5,11.5,1.6,0,0,0,29.7,3
2026,0,0,0,0,0.5,0.6,8.9,12,,,,,21.9,5
평균,0.0,0.0,0.0,0.0,0.2,1.3,6.8,9.7,0.7,0.0,0.0,0.0


가장 긴 폭염
연도,지점,시작일,종료일,지속일수
2016,합천,2016-07-23,2016-08-25,34
2017,경주시,2017-07-16,2017-07-24,9
2018,금산,2018-07-11,2018-08-16,37
2019,부안,2019-07-30,2019-08-11,13
2020,대구,2020-08-11,2020-08-21,11
2021,밀양,2021-07-20,2021-08-07,19
2022,제주,2022-08-04,2022-08-16,13
2023,양산시·의성,2023-07-26,2023-08-08,14
2024,구미·밀양·의성,2024-07-25,2024-08-20,27
2025,완도,2025-08-14,2025-09-07,25
2026,김해시·의령군·전주,2026-07-20,2026-08-10,22


가장 빠른/가장 늦은 폭염
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
2016,홍천,2016-05-22,광주,2016-09-04
2017,강릉·북강릉·속초·울진·의령군·합천,2017-05-19,밀양,2017-08-29
2018,울진·의성·포항,2018-04-21,제주,2018-08-31
2019,강릉·경주시·구미·금산·대구·밀양·보은·북춘천·산청·상주·서울·영덕·영월·영천·의성·이천·정선군·제주·제천·청송군·청주·춘천·충주·포항·합천·홍천,2019-05-24,의성,2019-09-10
2020,거창·경주시·구미·대구·밀양·영천·울진·의령군·의성·청송군·포항·합천,2020-06-04,고창·고창군·순창군·정읍·해남,2020-08-31
2021,대구·밀양·의령군·함양군,2021-06-08,제주,2021-09-01
2022,경주시·밀양·양산시,2022-05-22,광양시·서귀포,2022-09-19
2023,강릉·경주시·구미·대구·동해·북강릉·산청·상주·속초·울진·의령군·의성·포항,2023-05-16,정선군,2023-09-10
2024,강릉·밀양·속초,2024-05-23,강진군·거제·거창·경주시·고창·고창·고창군·고흥·광양시·광주·군산·금산·김해시·남원·남해·대구·대전·마산·목포·밀양·보령·보성군·부산·부안·부여·북부산·북창원·산청·서귀포·서산·세종·세종(예)·수원·순창군·순천·양산시·여수·영광군·영천·완도·울산·의령군·의성·임실·장수·장흥·전주·정읍·제주·진도군·진주·창원·창원시·청송군·통영·함양군·합천·해남·흑산도,2024-09-19
2025,경주시·구미·대구·포항,2025-05-20,경주시·김해시·대구·마산·밀양·보성군·북부산·북창원·성산·양산시·울산·제주·창원·창원시·포항,2025-09-17
2026,경주시·구미·대구·밀양·상주·함양군,2026-05-16,고흥·김해시·밀양·북창원·양산시·완도·창원시,2026-08-30


전국 폭염일수

년도,날짜,지점
2016,0522,홍천
2016,0530,합천
2016,0610,의성
2016,0617,합천
2016,0618,의성
2016,0618,대구
2016,0618,안동
2016,0618,영천
2016,0619,의성
2016,0619,합천
2016,0623,의성
2016,0705,의성
2016,0705,안동
2016,0707,합천
2016,0707,영천
2016,0707,밀양
2016,0708,정읍
2016,0708,수원
2016,0708,홍천
2016,0708,이천
2016,0708,부여
2016,0708,안동
2016,0708,충주
2016,0708,의성
2016,0708,양평
2016,0709,남원
2016,0709,부여
2016,0709,정읍
2016,0709,합천
2016,0709,대구
2016,0709,거창
2016,0709,대전
2016,0709,문경
2016,0709,산청
2016,0709,밀양
2016,0709,춘천
2016,0709,구미
2016,0709,홍천
2016,0709,보은
2016,0709,이천
2016,0709,양평
2016,0709,안동
2016,0709,영천
2016,0709,영주
2016,0709,충주
2016,0709,광주
2016,0709,의성
2016,0709,임실
2016,0710,서울
2016,0710,합천
2016,0710,홍천
2016,0710,대구
2016,0710,수원
2016,0710,영천
2016,0710,춘천
2016,0710,이천
2016,0710,영덕
2016,0710,양평
2016,0710,안동
2016,0710,밀양
2016,0711,서울
2016,0711,홍천
2016,0711,수원
2016,0711,인제
2016,0711,원주
2016,0711,충주
2016,0711,춘천
2016,0711,이천
2016,0711,제천
2016,0711,양평
2016,0711,청주
2016,0714,창원
2016,0714,거제
2016,0714,진주
2016,0714,밀양
2016,0714,남해
2016,0714,합천
2016,0720,정읍
2016,0720,홍천
2016,0720,부여
2016,0720,전주
2016,0720,부안
2016,0720,수원
2016,0721,정읍
2016,0721,홍천
2016,0721,부여
2016,0721,부안
2016,0721,광주
2016,0721,전주
2016,0722,철원
2016,0722,부여
2016,0722,정읍
2016,0722,홍천
2016,0722,대전
2016,0722,수원
2016,0722,군산
2016,0722,원주
2016,0722,청주
2016,0722,춘천
2016,0722,전주
2016,0722,이천
2016,0722,양평
2016,0722,금산
2016,0722,부안
2016,0722,충주
2016,0722,서울
2016,0723,정읍
2016,0723,부여
2016,0723,홍천
2016,0723,대구
2016,0723,대전
2016,0723,청주
2016,0723,밀양
2016,0723,천안
2016,0723,구미
2016,0723,전주
2016,0723,금산
2016,0723,부안
2016,0723,영천
2016,0723,충주
2016,0723,의성
2016,0723,합천
2016,0724,창원
2016,0724,의성
2016,0724,울산
2016,0724,남원
2016,0724,임실
2016,0724,정읍
2016,0724,합천
2016,0724,대구
2016,0724,거창
2016,0724,청주
2016,0724,밀양
2016,0724,구미
2016,0724,전주
2016,0724,영덕
2016,0724,안동
2016,0724,금산
2016,0724,부안
2016,0724,남해
2016,0724,영천
2016,0724,광주
2016,0724,포항
2016,0725,창원
2016,0725,진주
2016,0725,임실
2016,0725,정읍
2016,0725,거창
2016,0725,장흥
2016,0725,산청
2016,0725,청주
2016,0725,금산
2016,0725,밀양
2016,0725,합천
2016,0725,해남
2016,0725,부안
2016,0725,남해
2016,0725,광주
2016,0725,남원
2016,0726,창원
2016,0726,의성
2016,0726,울산
2016,0726,남원
2016,0726,임실
2016,0726,정읍
2016,0726,대구
2016,0726,거창
2016,0726,대전
2016,0726,문경
2016,0726,산청
2016,0726,청주
2016,0726,금산
2016,0726,밀양
2016,0726,구미
2016,0726,보은
2016,0726,추풍령
2016,0726,합천
2016,0726,전주
2016,0726,강릉
2016,0726,영덕
2016,0726,울진
2016,0726,안동
2016,0726,부안
2016,0726,영천
2016,0726,충주
2016,0726,광주
2016,0726,포항
